Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg	version
CF06-CM02-Larvae_PE_report	2270.0	780.0	0.0	849.0	3353.0	2415.0	6950.0	22.7	5.4	6.5	23.5	583.0	534.0	584.0	569.0	77276.0	10000.0	14908.0	47895.0	7856.0	0.24.2
CF07-CM02-Zygote_PE_report	1147.0	475.0	0.0	168.0	1050.0	921.0	8378.0	11.469999999999999	2.4	4.5	20.1	281.0	256.0	284.0	326.0	35128.0	10000.0	6935.0	22384.0	3670.0	0.24.2
CF08-CM03-Zygote_PE_report	1885.0	771.0	0.0	345.0	2130.0	1048.0	7344.0	18.85	3.9	6.4	18.8	364.0	429.0	531.0	561.0	47765.0	10000.0	8440.0	31286.0	4516.0	0.24.2
CF08-CM04-Larvae_PE_report	87.0	52.0	0.0	7.0	351.0	44.0	9861.0	0.8699999999999999	1.3	13.7	10.4	18.0	18.0	29.0	22.0	3531.0	10000.0	540.0	2210.0	379.0	0.24.2
CF08-CM05-Larvae_PE_report	210.0	71.0	0.0	21.0	184.0	105.0	9719.0	2.1	1.4	3.1	10.0	49.0	50.0	47.0	64.0	8450.0	10000.0	1508.0	5687.0	945.0	0.24.2
EF01-EM01-Zygote_PE_report	2194.0	849.0	0.0	740.0	3057.0	2191.0	6957.0	21.94	5.2	6.6	23.5	555.0	505.0	575.0	559.0	70163.0	10000.0	13593.0	43446.0	7136.0	0.24.2
EF02-EM02-Zygote_PE_report	2365.0	1077.0	0.0	295.0	1466.0	1698.0	6558.0	23.65	1.8	3.0	15.8	504.0	542.0	638.0	681.0	75386.0	10000.0	15664.0	47237.0	9026.0	0.24.2
EF03-EM03-Zygote_PE_report	1644.0	707.0	0.0	364.0	1873.0	1009.0	7649.0	16.439999999999998	4.3	6.3	20.5	350.0	351.0	467.0	476.0	43002.0	10000.0	8039.0	27805.0	3912.0	0.24.2
EF03-EM04-Larvae_PE_report	3043.0	1219.0	0.0	1267.0	4428.0	3528.0	5738.0	30.43	5.4	6.3	22.6	663.0	727.0	790.0	863.0	109586.0	10000.0	22373.0	65909.0	12081.0	0.24.2
EF03-EM05-Larvae_PE_report	2820.0	1004.0	0.0	801.0	3086.0	3199.0	6176.0	28.199999999999996	3.6	4.5	20.9	728.0	683.0	702.0	707.0	105469.0	10000.0	21453.0	64795.0	12135.0	0.24.2
EF04-EM04-Zygote_PE_report	863.0	376.0	0.0	196.0	889.0	526.0	8761.0	8.63	4.7	6.1	17.1	224.0	212.0	226.0	201.0	21691.0	10000.0	3957.0	13575.0	2548.0	0.24.2
EF04-EM05-Larvae_PE_report	3708.0	1363.0	0.0	478.0	2066.0	3930.0	4929.0	37.08	1.5	2.1	17.9	992.0	1052.0	870.0	794.0	150687.0	10000.0	31960.0	94274.0	17979.0	0.24.2
EF05-EM01-Larvae_PE_report	2917.0	1169.0	0.0	621.0	2337.0	3294.0	5914.0	29.17	2.5	3.2	18.4	749.0	777.0	681.0	710.0	115893.0	10000.0	24691.0	70307.0	14643.0	0.24.2
EF05-EM05-Zygote_PE_report	731.0	382.0	0.0	76.0	440.0	260.0	8887.0	7.31	2.4	3.9	10.9	167.0	161.0	188.0	215.0	16823.0	10000.0	3082.0	10831.0	2134.0	0.24.2
EF05-EM06-Larvae_PE_report	3434.0	1081.0	0.0	1547.0	6108.0	4110.0	5485.0	34.339999999999996	5.2	6.0	19.3	855.0	850.0	838.0	891.0	153540.0	10000.0	28361.0	96182.0	17232.0	0.24.2
EF06-EM01-Larvae_PE_report	3403.0	1277.0	0.0	580.0	2287.0	3681.0	5320.0	34.03	1.9	2.5	18.1	902.0	904.0	781.0	816.0	141554.0	10000.0	29231.0	89090.0	16685.0	0.24.2
EF06-EM02-Larvae_PE_report	3655.0	1339.0	0.0	888.0	3142.0	4363.0	5006.0	36.55	2.9	3.6	21.0	940.0	946.0	874.0	895.0	139015.0	10000.0	29244.0	85004.0	16374.0	0.24.2
EF06-EM06-Larvae_PE_report	2487.0	863.0	0.0	627.0	3311.0	1935.0	6650.0	24.87	4.2	6.5	19.4	622.0	633.0	596.0	636.0	76185.0	10000.0	14257.0	47999.0	8056.0	0.24.2
EF07-EM01-Zygote_PE_report	1084.0	559.0	0.0	100.0	584.0	508.0	8357.0	10.84	1.9	3.1	14.6	224.0	224.0	308.0	328.0	27646.0	10000.0	5200.0	18278.0	2976.0	0.24.2
EF07-EM03-Larvae_PE_report	3253.0	1317.0	0.0	445.0	1816.0	3055.0	5430.0	32.53	1.7	2.2	16.1	910.0	814.0	813.0	716.0	128336.0	10000.0	26287.0	80786.0	15947.0	0.24.2
EF08-EM03-Larvae_PE_report	3821.0	1623.0	0.0	534.0	2097.0	3839.0	4556.0	38.21	1.7	2.3	18.0	963.0	1030.0	910.0	918.0	141928.0	10000.0	30620.0	87341.0	17497.0	0.24.2
EF08-EM04-Larvae_PE_report	3602.0	1574.0	0.0	778.0	2743.0	4008.0	4824.0	36.02	2.7	3.4	20.4	936.0	922.0	842.0	902.0	128257.0	10000.0	27621.0	77473.0	15634.0	0.24.2
