Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	CF01-CM02-Larvae-1-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF01-CM02-Larvae-1-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF02-CM02-Zygote-2-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF02-CM02-Zygote-2-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF03-CM03-Zygote-3-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF03-CM03-Zygote-3-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF03-CM04-Larvae-4-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF03-CM04-Larvae-4-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF03-CM05-Larvae-5-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF03-CM05-Larvae-5-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF04-CM04-Zygote-6-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF04-CM04-Zygote-6-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF05-CM02-Larvae-7-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF05-CM02-Larvae-7-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF05-CM05-Zygote-8-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF05-CM05-Zygote-8-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF06-CM02-Larvae-10-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF06-CM02-Larvae-10-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF07-CM02-Zygote-11-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF07-CM02-Zygote-11-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF08-CM03-Zygote-12-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF08-CM03-Zygote-12-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF08-CM04-Larvae-13-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF08-CM04-Larvae-13-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	CF08-CM05-Larvae-14-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/CF08-CM05-Larvae-14-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF01-EM01-Zygote-15-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF01-EM01-Zygote-15-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF02-EM02-Zygote-16-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF02-EM02-Zygote-16-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF03-EM03-Zygote-17-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF03-EM03-Zygote-17-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF03-EM04-Larvae-18-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF03-EM04-Larvae-18-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF03-EM05-Larvae-19-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF03-EM05-Larvae-19-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF04-EM04-Zygote-20-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF04-EM04-Zygote-20-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF04-EM05-Larvae-21-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF04-EM05-Larvae-21-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF05-EM01-Larvae-22-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF05-EM01-Larvae-22-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF05-EM05-Zygote-23-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF05-EM05-Zygote-23-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF05-EM06-Larvae-24-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF05-EM06-Larvae-24-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF06-EM01-Larvae-25-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF06-EM01-Larvae-25-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF06-EM02-Larvae-26-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF06-EM02-Larvae-26-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF06-EM06-Larvae-27-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF06-EM06-Larvae-27-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF07-EM01-Zygote-28-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF07-EM01-Zygote-28-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF07-EM03-Larvae-29-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF07-EM03-Larvae-29-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF08-EM03-Larvae-30-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF08-EM03-Larvae-30-bismark_summary.txt
Bowtie 2 / HiSAT2	all_sections	EF08-EM04-Larvae-31-bismark	/gscratch/scrubbed/sr320/github/ceasmallr/output/04-bismark-align/EF08-EM04-Larvae-31-bismark_summary.txt
