Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg	version
EF03-EM03-Zygote_R1_001	21524633.0	8257027.0	21.0	3461459.0	19406022.0	12916237.0	103555667.0	16.142991227055273	3.8	5.7	21.4	4703312.0	4687480.0	6084266.0	6049554.0	492559811.0	133337327.0	87279346.0	322148783.0	47347964.0	0.24.2
EF03-EM04-Larvae_R1_001	40734271.0	15240740.0	42.0	13551188.0	51766080.0	41550585.0	76386668.0	30.77497301919236	5.0	6.1	22.3	9184357.0	9162108.0	11210837.0	11176927.0	1311976237.0	132361679.0	260154762.0	799854040.0	145099582.0	0.24.2
EF03-EM05-Larvae_R1_001	38974361.0	13539615.0	23.0	8928820.0	36372541.0	38286861.0	83976855.0	28.554563492986574	3.3	4.3	20.2	9820751.0	9775906.0	9705559.0	9672122.0	1310026631.0	136490831.0	263491077.0	811451203.0	151496129.0	0.24.2
EF04-EM04-Zygote_R1_001	13101846.0	5797005.0	39.0	2039614.0	9515860.0	6445114.0	137152854.0	8.395836495346206	3.9	5.1	17.3	3327067.0	3293198.0	3254443.0	3227099.0	277701930.0	156051705.0	50171833.0	178652583.0	30876926.0	0.24.2
EF04-EM05-Larvae_R1_001	50823168.0	18715972.0	46.0	5376496.0	22414199.0	48867547.0	70676931.0	36.246321578929425	1.4	1.9	17.5	13433026.0	13412856.0	12000811.0	11976429.0	1873200176.0	140216071.0	387785042.0	1178891024.0	229865868.0	0.24.2
EF05-EM01-Larvae_R1_001	30782864.0	11717416.0	18.0	3952877.0	17551183.0	31484695.0	63471486.0	29.048174963886137	1.7	2.5	18.9	7908834.0	7884382.0	7507181.0	7482449.0	1101855990.0	105971766.0	231126968.0	682203554.0	135536713.0	0.24.2
EF05-EM05-Zygote_R1_001	8067338.0	3998950.0	18.0	530895.0	3476697.0	2608059.0	108330741.0	6.700612188694458	1.9	3.4	13.3	1927805.0	1925046.0	2110203.0	2104266.0	150672769.0	120397029.0	27012857.0	99995601.0	17048660.0	0.24.2
EF05-EM06-Larvae_R1_001	69096435.0	21241161.0	35.0	24300011.0	100612703.0	75491086.0	106977420.0	35.01833585741898	4.5	5.4	19.8	18070671.0	18062442.0	16499768.0	16463519.0	2770765034.0	197315016.0	515819901.0	1747914678.0	306626655.0	0.24.2
EF06-EM01-Larvae_R1_001	48406028.0	17458004.0	62.0	5507638.0	23445097.0	44924935.0	75611669.0	34.21508263104489	1.5	2.0	17.5	12813486.0	12783896.0	11412108.0	11396476.0	1770659649.0	141475701.0	356795895.0	1127485372.0	212500712.0	0.24.2
EF06-EM02-Larvae_R1_001	40538208.0	14702890.0	31.0	7322218.0	28049586.0	42281511.0	60061891.0	35.15798536671066	2.5	3.2	20.3	10386605.0	10358077.0	9904590.0	9888905.0	1377046370.0	115302989.0	290287822.0	843274068.0	165831165.0	0.24.2
EF06-EM06-Larvae_R1_001	40050266.0	13754048.0	126.0	8390454.0	41085034.0	29251578.0	106712714.0	24.950789644572787	4.1	5.7	21.5	10073982.0	10096952.0	9935116.0	9944090.0	1064107088.0	160517028.0	195683556.0	682995990.0	106700476.0	0.24.2
EF07-EM01-Zygote_R1_001	23579759.0	10012906.0	53.0	1510834.0	11438727.0	10902218.0	202949461.0	9.968524168925413	1.5	3.1	16.0	4827905.0	4852195.0	6929516.0	6970090.0	538311693.0	236542126.0	98086035.0	359024427.0	57349452.0	0.24.2
EF07-EM03-Larvae_R1_001	42132656.0	15780713.0	44.0	4763094.0	20707519.0	38937577.0	70148503.0	32.90023434922145	1.6	2.2	18.3	11003713.0	10973939.0	10087530.0	10067430.0	1472676037.0	128061872.0	302035165.0	932959461.0	173273221.0	0.24.2
EF08-EM03-Larvae_R1_001	60954643.0	25161070.0	50.0	5677195.0	23737497.0	58839000.0	74647990.0	37.915674908284494	1.3	1.9	19.4	16220168.0	16154480.0	14318411.0	14261534.0	1999920373.0	160763703.0	424448084.0	1242025647.0	245192950.0	0.24.2
EF08-EM04-Larvae_R1_001	40901180.0	16907598.0	30.0	6487800.0	26881417.0	38458590.0	59649021.0	34.822021481945185	2.4	3.4	20.1	10438849.0	10386358.0	10055685.0	10020258.0	1252936964.0	117457799.0	266585939.0	761808189.0	152715029.0	0.24.2
